Episode	Score	Epsilon
422	200.0	1.0000
423	260.0	1.0000
424	260.0	1.0000
425	320.0	1.0000
426	210.0	1.0000
427	560.0	1.0000
428	270.0	1.0000
429	160.0	1.0000
430	150.0	1.0000
431	160.0	1.0000
432	250.0	1.0000
433	290.0	1.0000
434	190.0	1.0000
435	150.0	1.0000
436	310.0	1.0000
437	230.0	1.0000
438	170.0	1.0000
439	280.0	1.0000
440	350.0	1.0000
441	420.0	1.0000
442	230.0	1.0000
443	360.0	1.0000
444	340.0	1.0000
445	190.0	1.0000
446	210.0	1.0000
447	250.0	1.0000
448	300.0	1.0000
449	380.0	1.0000
450	550.0	1.0000
451	130.0	1.0000
452	220.0	1.0000
453	260.0	1.0000
454	250.0	1.0000
455	630.0	1.0000
456	300.0	1.0000
457	210.0	1.0000
458	150.0	1.0000
459	260.0	1.0000
460	210.0	1.0000
461	380.0	1.0000
462	220.0	1.0000
463	200.0	1.0000
464	310.0	1.0000
465	170.0	1.0000
466	260.0	1.0000
467	240.0	1.0000
468	300.0	1.0000
469	380.0	1.0000
470	320.0	1.0000
471	210.0	1.0000
472	300.0	1.0000
473	290.0	1.0000
474	200.0	1.0000
475	250.0	1.0000
476	220.0	1.0000
477	110.0	1.0000
478	230.0	1.0000
479	180.0	1.0000
480	90.0	1.0000
481	110.0	1.0000
482	310.0	1.0000
483	320.0	1.0000
484	310.0	1.0000
485	180.0	1.0000
486	300.0	1.0000
487	270.0	1.0000
488	560.0	1.0000
489	280.0	1.0000
490	280.0	1.0000
491	200.0	1.0000
492	370.0	1.0000
493	180.0	1.0000
494	310.0	1.0000
495	180.0	1.0000
496	220.0	1.0000
497	210.0	1.0000
498	270.0	1.0000
499	280.0	1.0000
500	290.0	1.0000
501	230.0	1.0000
502	250.0	1.0000
503	180.0	1.0000
504	250.0	1.0000
505	210.0	1.0000
506	260.0	1.0000
507	150.0	1.0000
508	110.0	1.0000
509	230.0	1.0000
510	1990.0	1.0000
511	170.0	1.0000
512	250.0	1.0000
513	240.0	1.0000
514	560.0	1.0000
515	140.0	1.0000
516	170.0	1.0000
517	230.0	1.0000
518	190.0	1.0000
519	310.0	1.0000
520	240.0	1.0000
521	270.0	1.0000
522	130.0	1.0000
523	290.0	1.0000
524	190.0	1.0000
525	160.0	1.0000
526	260.0	1.0000
527	230.0	1.0000
528	150.0	1.0000
529	740.0	1.0000
530	260.0	1.0000
531	200.0	1.0000
532	160.0	1.0000
533	350.0	1.0000
534	130.0	1.0000
535	300.0	1.0000
536	200.0	1.0000
537	240.0	1.0000
538	150.0	1.0000
539	200.0	1.0000
540	240.0	1.0000
541	160.0	1.0000
542	380.0	1.0000
543	370.0	1.0000
544	280.0	1.0000
545	410.0	1.0000
546	190.0	1.0000
547	220.0	1.0000
548	190.0	1.0000
549	670.0	1.0000
550	140.0	1.0000
551	230.0	1.0000
552	130.0	1.0000
553	170.0	1.0000
554	310.0	1.0000
555	1250.0	1.0000
556	280.0	1.0000
557	410.0	1.0000
558	260.0	1.0000
559	140.0	1.0000
560	170.0	1.0000
561	220.0	1.0000
562	310.0	1.0000
563	260.0	1.0000
564	160.0	1.0000
565	190.0	1.0000
566	1060.0	1.0000
567	230.0	1.0000
568	200.0	1.0000
569	280.0	1.0000
570	320.0	1.0000
571	240.0	1.0000
572	180.0	1.0000
573	170.0	1.0000
574	110.0	1.0000
575	420.0	1.0000
576	390.0	1.0000
577	200.0	1.0000
578	210.0	1.0000
579	180.0	1.0000
580	290.0	1.0000
581	170.0	1.0000
582	150.0	1.0000
583	240.0	1.0000
584	340.0	1.0000
585	330.0	1.0000
586	130.0	1.0000
587	220.0	1.0000
588	640.0	1.0000
589	180.0	1.0000
590	270.0	1.0000
591	290.0	1.0000
592	220.0	1.0000
593	270.0	1.0000
594	210.0	1.0000
595	180.0	1.0000
596	170.0	1.0000
597	170.0	1.0000
598	150.0	1.0000
599	290.0	1.0000
600	250.0	1.0000
601	240.0	1.0000
602	1000.0	1.0000
603	200.0	1.0000
604	420.0	1.0000
605	200.0	1.0000
606	130.0	1.0000
607	270.0	1.0000
608	320.0	1.0000
609	340.0	1.0000
610	280.0	1.0000
611	190.0	1.0000
612	270.0	1.0000
613	220.0	1.0000
614	230.0	1.0000
615	200.0	1.0000
616	960.0	1.0000
617	150.0	1.0000
618	420.0	1.0000
619	480.0	1.0000
620	330.0	1.0000
621	200.0	1.0000
622	510.0	1.0000
623	400.0	1.0000
624	340.0	1.0000
625	190.0	1.0000
626	180.0	1.0000
627	200.0	1.0000
628	220.0	1.0000
629	280.0	1.0000
630	340.0	1.0000
631	230.0	1.0000
632	250.0	1.0000
633	120.0	1.0000
634	100.0	1.0000
635	210.0	1.0000
636	380.0	1.0000
637	130.0	1.0000
638	300.0	1.0000
639	230.0	1.0000
640	280.0	1.0000
641	120.0	1.0000
642	190.0	1.0000
643	210.0	1.0000
644	600.0	1.0000
645	190.0	1.0000
646	420.0	1.0000
647	210.0	1.0000
648	450.0	1.0000
649	160.0	1.0000
650	1000.0	1.0000
651	180.0	1.0000
652	280.0	1.0000
653	190.0	1.0000
654	410.0	1.0000
655	1050.0	1.0000
656	180.0	1.0000
657	260.0	1.0000
658	260.0	1.0000
659	300.0	1.0000
660	290.0	1.0000
661	190.0	1.0000
662	280.0	1.0000
663	310.0	1.0000
664	200.0	1.0000
665	250.0	1.0000
666	260.0	1.0000
667	220.0	1.0000
668	210.0	1.0000
669	240.0	1.0000
670	230.0	1.0000
671	230.0	1.0000
672	210.0	1.0000
673	240.0	1.0000
674	310.0	1.0000
675	250.0	1.0000
676	180.0	1.0000
677	130.0	1.0000
678	210.0	1.0000
679	250.0	1.0000
680	200.0	1.0000
681	160.0	1.0000
682	170.0	1.0000
683	360.0	1.0000
684	290.0	1.0000
685	440.0	1.0000
686	130.0	1.0000
687	230.0	1.0000
688	290.0	1.0000
689	190.0	1.0000
690	170.0	1.0000
691	270.0	1.0000
692	530.0	1.0000
693	210.0	1.0000
694	630.0	1.0000
695	240.0	1.0000
696	250.0	1.0000
697	110.0	1.0000
698	220.0	1.0000
699	230.0	1.0000
700	110.0	1.0000
701	310.0	1.0000
702	340.0	1.0000
703	220.0	1.0000
704	180.0	1.0000
705	170.0	1.0000
706	200.0	1.0000
707	290.0	1.0000
708	360.0	1.0000
709	240.0	1.0000
710	200.0	1.0000
711	140.0	1.0000
712	220.0	1.0000
713	180.0	1.0000
714	200.0	1.0000
715	140.0	1.0000
716	100.0	1.0000
717	230.0	1.0000
718	170.0	1.0000
719	230.0	1.0000
720	240.0	1.0000
721	220.0	1.0000
722	240.0	1.0000
723	300.0	1.0000
724	150.0	1.0000
725	210.0	1.0000
726	500.0	1.0000
727	210.0	1.0000
728	230.0	1.0000
729	700.0	1.0000
730	230.0	1.0000
731	150.0	1.0000
732	460.0	1.0000
733	370.0	1.0000
734	410.0	1.0000
735	240.0	1.0000
736	190.0	1.0000
737	160.0	1.0000
738	250.0	1.0000
739	230.0	1.0000
740	210.0	1.0000
741	250.0	1.0000
742	180.0	1.0000
743	210.0	1.0000
744	300.0	1.0000
745	270.0	1.0000
746	170.0	1.0000
747	180.0	1.0000
748	320.0	1.0000
749	120.0	1.0000
750	220.0	1.0000
751	240.0	1.0000
752	650.0	1.0000
753	170.0	1.0000
754	240.0	1.0000
755	280.0	1.0000
756	270.0	1.0000
757	280.0	1.0000
758	260.0	1.0000
759	200.0	1.0000
760	320.0	1.0000
761	240.0	1.0000
762	210.0	1.0000
763	140.0	1.0000
764	220.0	1.0000
765	320.0	1.0000
766	300.0	1.0000
767	230.0	1.0000
768	230.0	1.0000
769	250.0	1.0000
770	280.0	1.0000
771	610.0	1.0000
772	450.0	1.0000
773	180.0	1.0000
774	930.0	1.0000
775	230.0	1.0000
776	290.0	1.0000
777	180.0	1.0000
778	200.0	1.0000
779	200.0	1.0000
780	220.0	1.0000
781	220.0	1.0000
782	260.0	1.0000
783	260.0	1.0000
784	340.0	1.0000
785	220.0	1.0000
786	270.0	1.0000
787	160.0	1.0000
788	230.0	1.0000
789	200.0	1.0000
790	240.0	1.0000
791	360.0	1.0000
792	310.0	1.0000
793	240.0	1.0000
794	260.0	1.0000
795	210.0	1.0000
796	160.0	1.0000
797	230.0	1.0000
798	620.0	1.0000
799	140.0	1.0000
800	290.0	1.0000
801	230.0	1.0000
802	500.0	1.0000
803	200.0	1.0000
804	200.0	1.0000
805	370.0	1.0000
806	320.0	1.0000
807	150.0	1.0000
808	270.0	1.0000
809	180.0	1.0000
810	240.0	1.0000
811	140.0	1.0000
812	130.0	1.0000
813	270.0	1.0000
814	170.0	1.0000
815	130.0	1.0000
816	260.0	1.0000
817	370.0	1.0000
818	400.0	1.0000
819	190.0	1.0000
820	440.0	1.0000
821	410.0	1.0000
822	260.0	1.0000
823	210.0	1.0000
824	1370.0	1.0000
825	160.0	1.0000
826	290.0	1.0000
827	420.0	1.0000
828	210.0	1.0000
829	280.0	1.0000
830	150.0	1.0000
831	230.0	1.0000
832	130.0	1.0000
833	230.0	1.0000
834	270.0	1.0000
835	320.0	1.0000
836	230.0	1.0000
837	140.0	1.0000
838	540.0	1.0000
839	220.0	1.0000
840	130.0	1.0000
841	190.0	1.0000
842	250.0	1.0000
843	320.0	1.0000
844	240.0	1.0000
845	250.0	1.0000
846	170.0	1.0000
847	240.0	1.0000
848	160.0	1.0000
849	230.0	1.0000
850	270.0	1.0000
851	170.0	1.0000
852	260.0	1.0000
853	160.0	1.0000
854	180.0	1.0000
855	190.0	1.0000
856	260.0	1.0000
857	340.0	1.0000
858	200.0	1.0000
859	300.0	1.0000
860	150.0	1.0000
861	170.0	1.0000
862	300.0	1.0000
863	170.0	1.0000
864	230.0	1.0000
865	160.0	1.0000
866	230.0	1.0000
867	190.0	1.0000
868	170.0	1.0000
869	170.0	1.0000
870	310.0	1.0000
871	120.0	1.0000
872	310.0	1.0000
873	190.0	1.0000
874	1140.0	1.0000
875	210.0	1.0000
876	230.0	1.0000
877	220.0	1.0000
878	230.0	1.0000
879	240.0	1.0000
880	180.0	1.0000
881	290.0	1.0000
882	240.0	1.0000
883	640.0	1.0000
884	300.0	1.0000
885	220.0	1.0000
886	390.0	1.0000
887	280.0	1.0000
888	260.0	1.0000
889	230.0	1.0000
890	290.0	1.0000
891	220.0	1.0000
892	180.0	1.0000
893	130.0	1.0000
894	710.0	1.0000
895	290.0	1.0000
896	230.0	1.0000
897	290.0	1.0000
898	1850.0	1.0000
899	160.0	1.0000
900	210.0	1.0000
901	290.0	1.0000
902	290.0	1.0000
903	450.0	1.0000
904	170.0	1.0000
905	240.0	1.0000
906	230.0	1.0000
907	200.0	1.0000
908	230.0	1.0000
909	190.0	1.0000
910	350.0	1.0000
911	170.0	1.0000
912	190.0	1.0000
913	100.0	1.0000
914	260.0	1.0000
915	200.0	1.0000
916	230.0	1.0000
917	320.0	1.0000
918	220.0	1.0000
919	280.0	1.0000
920	360.0	1.0000
921	110.0	1.0000
922	250.0	1.0000
923	480.0	1.0000
924	560.0	1.0000
925	340.0	1.0000
926	190.0	1.0000
927	180.0	1.0000
928	510.0	1.0000
929	230.0	1.0000
930	390.0	1.0000
931	220.0	1.0000
932	280.0	1.0000
933	100.0	1.0000
934	120.0	1.0000
935	130.0	1.0000
936	210.0	1.0000
937	190.0	1.0000
938	280.0	1.0000
939	230.0	1.0000
940	600.0	1.0000
941	200.0	1.0000
942	190.0	1.0000
943	270.0	1.0000
944	270.0	1.0000
945	190.0	1.0000
946	270.0	1.0000
947	280.0	1.0000
948	250.0	1.0000
949	280.0	1.0000
950	250.0	1.0000
951	330.0	1.0000
952	250.0	1.0000
953	310.0	1.0000
954	320.0	1.0000
955	260.0	1.0000
956	260.0	1.0000
957	500.0	1.0000
958	210.0	1.0000
959	250.0	1.0000
960	270.0	1.0000
961	240.0	1.0000
962	240.0	1.0000
963	210.0	1.0000
964	140.0	1.0000
965	310.0	1.0000
966	240.0	1.0000
967	160.0	1.0000
968	180.0	1.0000
969	190.0	1.0000
970	160.0	1.0000
971	230.0	1.0000
972	270.0	1.0000
973	140.0	1.0000
974	340.0	1.0000
975	170.0	1.0000
976	450.0	1.0000
977	260.0	1.0000
978	230.0	1.0000
979	190.0	1.0000
980	230.0	1.0000
981	190.0	1.0000
982	210.0	1.0000
983	540.0	1.0000
984	350.0	1.0000
985	330.0	1.0000
986	320.0	1.0000
987	250.0	1.0000
988	130.0	1.0000
989	230.0	1.0000
990	250.0	1.0000
991	260.0	1.0000
992	330.0	1.0000
993	220.0	1.0000
994	360.0	1.0000
995	150.0	1.0000
996	210.0	1.0000
997	210.0	1.0000
998	220.0	1.0000
999	220.0	1.0000
1000	210.0	1.0000
1001	410.0	1.0000
1002	290.0	1.0000
1003	310.0	1.0000
1004	250.0	1.0000
1005	110.0	1.0000
1006	180.0	1.0000
1007	120.0	1.0000
1008	180.0	1.0000
1009	170.0	1.0000
1010	260.0	1.0000
1011	210.0	1.0000
1012	200.0	1.0000
1013	150.0	1.0000
1014	210.0	1.0000
1015	1830.0	1.0000
1016	270.0	1.0000
1017	170.0	1.0000
1018	220.0	1.0000
1019	180.0	1.0000
1020	170.0	1.0000
1021	320.0	1.0000
1022	150.0	1.0000
1023	180.0	1.0000
1024	240.0	1.0000
1025	240.0	1.0000
1026	140.0	1.0000
1027	200.0	1.0000
1028	210.0	1.0000
1029	170.0	1.0000
1030	240.0	1.0000
1031	160.0	1.0000
1032	340.0	1.0000
1033	210.0	1.0000
1034	270.0	1.0000
1035	190.0	1.0000
1036	140.0	1.0000
1037	180.0	1.0000
1038	310.0	1.0000
1039	200.0	1.0000
1040	200.0	1.0000
1041	340.0	1.0000
1042	160.0	1.0000
1043	220.0	1.0000
1044	230.0	1.0000
1045	260.0	1.0000
1046	270.0	1.0000
1047	320.0	1.0000
1048	330.0	1.0000
1049	290.0	1.0000
1050	140.0	1.0000
1051	490.0	1.0000
1052	230.0	1.0000
1053	600.0	1.0000
1054	160.0	1.0000
1055	270.0	1.0000
1056	180.0	1.0000
1057	1170.0	1.0000
1058	280.0	1.0000
1059	310.0	1.0000
1060	220.0	1.0000
1061	120.0	1.0000
1062	350.0	1.0000
1063	300.0	1.0000
1064	120.0	1.0000
1065	180.0	1.0000
1066	190.0	1.0000
1067	160.0	1.0000
1068	270.0	1.0000
1069	150.0	1.0000
1070	260.0	1.0000
1071	260.0	1.0000
1072	320.0	1.0000
1073	350.0	1.0000
1074	220.0	1.0000
1075	270.0	1.0000
1076	300.0	1.0000
1077	300.0	1.0000
1078	300.0	1.0000
1079	250.0	1.0000
1080	160.0	1.0000
1081	170.0	1.0000
1082	130.0	1.0000
1083	200.0	1.0000
1084	230.0	1.0000
1085	320.0	1.0000
1086	220.0	1.0000
1087	260.0	1.0000
1088	250.0	1.0000
1089	210.0	1.0000
1090	440.0	1.0000
1091	210.0	1.0000
1092	200.0	1.0000
1093	300.0	1.0000
1094	520.0	1.0000
1095	200.0	1.0000
1096	180.0	1.0000
1097	260.0	1.0000
1098	200.0	1.0000
1099	180.0	1.0000
1100	750.0	1.0000
1101	220.0	1.0000
1102	220.0	1.0000
1103	450.0	1.0000
1104	610.0	1.0000
1105	200.0	1.0000
1106	190.0	1.0000
1107	120.0	1.0000
1108	240.0	1.0000
1109	300.0	1.0000
1110	190.0	1.0000
1111	240.0	1.0000
1112	270.0	1.0000
1113	190.0	1.0000
1114	170.0	1.0000
1115	310.0	1.0000
1116	220.0	1.0000
1117	150.0	1.0000
1118	150.0	1.0000
1119	340.0	1.0000
1120	290.0	1.0000
1121	160.0	1.0000
1122	220.0	1.0000
1123	130.0	1.0000
1124	470.0	1.0000
1125	220.0	1.0000
1126	280.0	1.0000
1127	310.0	1.0000
1128	210.0	1.0000
1129	300.0	1.0000
1130	180.0	1.0000
1131	160.0	1.0000
1132	510.0	1.0000
1133	310.0	1.0000
1134	320.0	1.0000
1135	270.0	1.0000
1136	330.0	1.0000
1137	380.0	1.0000
1138	300.0	1.0000
1139	200.0	1.0000
1140	150.0	1.0000
1141	250.0	1.0000
1142	170.0	1.0000
1143	270.0	1.0000
1144	310.0	1.0000
1145	220.0	1.0000
1146	140.0	1.0000
1147	180.0	1.0000
1148	230.0	1.0000
1149	230.0	1.0000
1150	260.0	1.0000
1151	360.0	1.0000
1152	130.0	1.0000
1153	270.0	1.0000
1154	340.0	1.0000
1155	340.0	1.0000
1156	220.0	1.0000
1157	220.0	1.0000
1158	200.0	1.0000
1159	320.0	1.0000
1160	230.0	1.0000
1161	230.0	1.0000
1162	320.0	1.0000
1163	150.0	1.0000
1164	300.0	1.0000
1165	280.0	1.0000
1166	190.0	1.0000
1167	360.0	1.0000
1168	270.0	1.0000
1169	320.0	1.0000
1170	490.0	1.0000
1171	330.0	1.0000
1172	290.0	1.0000
1173	160.0	1.0000
1174	230.0	1.0000
1175	340.0	1.0000
1176	190.0	1.0000
1177	180.0	1.0000
1178	220.0	1.0000
1179	180.0	1.0000
1180	290.0	1.0000
1181	240.0	1.0000
1182	130.0	1.0000
1183	250.0	1.0000
1184	220.0	1.0000
1185	170.0	1.0000
1186	450.0	1.0000
1187	230.0	1.0000
1188	300.0	1.0000
1189	190.0	1.0000
1190	230.0	1.0000
1191	300.0	1.0000
1192	230.0	1.0000
1193	110.0	1.0000
1194	170.0	1.0000
1195	240.0	1.0000
1196	150.0	1.0000
1197	220.0	1.0000
1198	300.0	1.0000
1199	370.0	1.0000
1200	350.0	1.0000
1201	110.0	1.0000
1202	170.0	1.0000
1203	290.0	1.0000
1204	340.0	1.0000
1205	610.0	1.0000
1206	370.0	1.0000
1207	160.0	1.0000
1208	200.0	1.0000
1209	130.0	1.0000
1210	230.0	1.0000
1211	120.0	1.0000
1212	200.0	1.0000
1213	210.0	1.0000
1214	290.0	1.0000
1215	280.0	1.0000
1216	180.0	1.0000
1217	180.0	1.0000
1218	420.0	1.0000
1219	260.0	1.0000
1220	200.0	1.0000
1221	180.0	1.0000
1222	250.0	1.0000
1223	950.0	1.0000
1224	260.0	1.0000
1225	420.0	1.0000
1226	220.0	1.0000
1227	350.0	1.0000
1228	170.0	1.0000
1229	130.0	1.0000
1230	230.0	1.0000
1231	80.0	1.0000
1232	310.0	1.0000
1233	240.0	1.0000
1234	290.0	1.0000
1235	190.0	1.0000
1236	220.0	1.0000
1237	240.0	1.0000
1238	310.0	1.0000
1239	330.0	1.0000
1240	480.0	1.0000
1241	180.0	1.0000
1242	210.0	1.0000
1243	900.0	1.0000
1244	340.0	1.0000
1245	180.0	1.0000
