Episode	Score	Epsilon
498	1200.0	0.05
499	380.0	0.05
500	890.0	0.05
501	1130.0	0.05
502	960.0	0.05
503	2250.0	0.05
504	870.0	0.05
505	350.0	0.05
506	990.0	0.05
507	610.0	0.05
508	900.0	0.05
509	450.0	0.05
510	1190.0	0.05
511	1010.0	0.05
512	420.0	0.05
513	810.0	0.05
514	700.0	0.05
515	350.0	0.05
516	380.0	0.05
517	840.0	0.05
518	640.0	0.05
519	260.0	0.05
520	560.0	0.05
521	770.0	0.05
522	1550.0	0.05
523	1310.0	0.05
524	1670.0	0.05
525	1520.0	0.05
526	1350.0	0.05
527	500.0	0.05
528	1270.0	0.05
529	930.0	0.05
530	1320.0	0.05
531	1140.0	0.05
532	290.0	0.05
533	990.0	0.05
534	360.0	0.05
535	700.0	0.05
536	670.0	0.05
537	870.0	0.05
538	1470.0	0.05
539	1050.0	0.05
540	270.0	0.05
541	820.0	0.05
542	1220.0	0.05
543	1470.0	0.05
544	710.0	0.05
545	690.0	0.05
546	550.0	0.05
547	510.0	0.05
548	710.0	0.05
549	1100.0	0.05
550	1250.0	0.05
551	950.0	0.05
552	1230.0	0.05
553	660.0	0.05
554	840.0	0.05
555	2520.0	0.05
556	930.0	0.05
557	370.0	0.05
558	960.0	0.05
559	1110.0	0.05
560	500.0	0.05
561	780.0	0.05
562	520.0	0.05
563	1040.0	0.05
564	1050.0	0.05
565	700.0	0.05
566	1380.0	0.05
567	690.0	0.05
568	930.0	0.05
569	1440.0	0.05
570	780.0	0.05
571	370.0	0.05
572	910.0	0.05
573	820.0	0.05
574	780.0	0.05
575	540.0	0.05
576	350.0	0.05
577	870.0	0.05
578	740.0	0.05
579	460.0	0.05
580	510.0	0.05
581	360.0	0.05
582	1020.0	0.05
583	1110.0	0.05
584	820.0	0.05
585	630.0	0.05
586	480.0	0.05
587	730.0	0.05
588	800.0	0.05
589	650.0	0.05
590	1160.0	0.05
591	220.0	0.05
592	1360.0	0.05
593	500.0	0.05
594	1280.0	0.05
595	1020.0	0.05
596	420.0	0.05
597	790.0	0.05
598	770.0	0.05
599	640.0	0.05
600	400.0	0.05
601	370.0	0.05
602	720.0	0.05
603	620.0	0.05
604	800.0	0.05
605	780.0	0.05
606	840.0	0.05
607	710.0	0.05
608	860.0	0.05
609	960.0	0.05
610	1080.0	0.05
611	1090.0	0.05
612	1280.0	0.05
613	1070.0	0.05
614	620.0	0.05
615	660.0	0.05
616	360.0	0.05
617	880.0	0.05
618	770.0	0.05
619	640.0	0.05
620	940.0	0.05
621	1000.0	0.05
622	290.0	0.05
623	1000.0	0.05
624	450.0	0.05
625	530.0	0.05
626	1170.0	0.05
627	980.0	0.05
628	520.0	0.05
629	1300.0	0.05
630	770.0	0.05
631	1030.0	0.05
632	730.0	0.05
633	870.0	0.05
634	960.0	0.05
635	770.0	0.05
636	690.0	0.05
637	600.0	0.05
638	790.0	0.05
639	1080.0	0.05
640	1120.0	0.05
641	610.0	0.05
642	880.0	0.05
643	470.0	0.05
644	1420.0	0.05
645	640.0	0.05
646	470.0	0.05
647	720.0	0.05
648	910.0	0.05
649	440.0	0.05
650	1630.0	0.05
651	1030.0	0.05
652	1000.0	0.05
653	280.0	0.05
654	650.0	0.05
655	730.0	0.05
656	470.0	0.05
657	1300.0	0.05
658	1370.0	0.05
659	1010.0	0.05
660	790.0	0.05
661	690.0	0.05
662	580.0	0.05
663	1280.0	0.05
664	680.0	0.05
665	1010.0	0.05
666	1060.0	0.05
667	1390.0	0.05
668	1420.0	0.05
669	540.0	0.05
670	390.0	0.05
671	760.0	0.05
672	1330.0	0.05
673	690.0	0.05
674	1560.0	0.05
675	1000.0	0.05
676	730.0	0.05
677	870.0	0.05
678	780.0	0.05
679	770.0	0.05
680	1050.0	0.05
681	590.0	0.05
682	1360.0	0.05
683	560.0	0.05
684	1030.0	0.05
685	780.0	0.05
686	860.0	0.05
687	1570.0	0.05
688	770.0	0.05
689	600.0	0.05
690	1430.0	0.05
691	690.0	0.05
692	2080.0	0.05
693	450.0	0.05
694	640.0	0.05
695	300.0	0.05
696	740.0	0.05
697	790.0	0.05
698	820.0	0.05
699	1410.0	0.05
700	350.0	0.05
701	620.0	0.05
702	460.0	0.05
703	430.0	0.05
704	930.0	0.05
705	740.0	0.05
706	1320.0	0.05
707	530.0	0.05
708	1330.0	0.05
709	570.0	0.05
710	920.0	0.05
711	840.0	0.05
712	840.0	0.05
713	790.0	0.05
714	520.0	0.05
715	510.0	0.05
716	520.0	0.05
717	640.0	0.05
718	480.0	0.05
719	630.0	0.05
720	910.0	0.05
721	1090.0	0.05
722	760.0	0.05
723	2030.0	0.05
724	120.0	0.05
725	1040.0	0.05
726	1290.0	0.05
727	950.0	0.05
728	1050.0	0.05
729	740.0	0.05
730	970.0	0.05
731	770.0	0.05
732	1030.0	0.05
733	1490.0	0.05
734	1210.0	0.05
735	1970.0	0.05
736	830.0	0.05
737	940.0	0.05
738	550.0	0.05
739	480.0	0.05
740	2550.0	0.05
741	280.0	0.05
742	770.0	0.05
743	550.0	0.05
744	760.0	0.05
745	1010.0	0.05
746	720.0	0.05
747	630.0	0.05
748	920.0	0.05
749	1070.0	0.05
750	430.0	0.05
751	700.0	0.05
752	610.0	0.05
753	840.0	0.05
754	920.0	0.05
755	1200.0	0.05
756	980.0	0.05
757	1190.0	0.05
758	1120.0	0.05
759	2250.0	0.05
760	1480.0	0.05
761	980.0	0.05
762	890.0	0.05
763	720.0	0.05
764	800.0	0.05
765	1030.0	0.05
766	370.0	0.05
767	940.0	0.05
768	580.0	0.05
769	940.0	0.05
770	910.0	0.05
771	1130.0	0.05
772	230.0	0.05
773	2170.0	0.05
774	570.0	0.05
775	640.0	0.05
776	600.0	0.05
777	620.0	0.05
778	330.0	0.05
779	410.0	0.05
780	560.0	0.05
781	1170.0	0.05
782	580.0	0.05
783	830.0	0.05
784	710.0	0.05
785	660.0	0.05
786	1080.0	0.05
787	600.0	0.05
788	660.0	0.05
789	660.0	0.05
790	1120.0	0.05
791	960.0	0.05
792	850.0	0.05
793	790.0	0.05
794	1100.0	0.05
795	2050.0	0.05
796	790.0	0.05
797	1100.0	0.05
798	1530.0	0.05
799	1250.0	0.05
800	1480.0	0.05
801	520.0	0.05
802	1610.0	0.05
803	920.0	0.05
804	730.0	0.05
805	1160.0	0.05
806	1950.0	0.05
807	380.0	0.05
808	670.0	0.05
809	670.0	0.05
810	220.0	0.05
811	850.0	0.05
812	860.0	0.05
813	740.0	0.05
814	500.0	0.05
815	820.0	0.05
816	710.0	0.05
817	670.0	0.05
818	2220.0	0.05
819	940.0	0.05
820	1670.0	0.05
821	1570.0	0.05
822	1120.0	0.05
823	1230.0	0.05
824	1240.0	0.05
825	480.0	0.05
826	1320.0	0.05
827	700.0	0.05
828	760.0	0.05
829	1730.0	0.05
830	1880.0	0.05
831	940.0	0.05
832	810.0	0.05
833	880.0	0.05
834	1180.0	0.05
835	720.0	0.05
836	760.0	0.05
837	1400.0	0.05
838	520.0	0.05
839	850.0	0.05
840	2000.0	0.05
841	1010.0	0.05
842	1010.0	0.05
843	2050.0	0.05
844	820.0	0.05
845	410.0	0.05
846	520.0	0.05
847	810.0	0.05
848	570.0	0.05
849	1130.0	0.05
850	870.0	0.05
851	1550.0	0.05
852	880.0	0.05
853	960.0	0.05
854	990.0	0.05
855	520.0	0.05
856	2250.0	0.05
857	1580.0	0.05
858	1080.0	0.05
859	780.0	0.05
860	410.0	0.05
861	490.0	0.05
862	1290.0	0.05
863	1070.0	0.05
864	2300.0	0.05
865	420.0	0.05
866	800.0	0.05
867	1400.0	0.05
868	770.0	0.05
869	920.0	0.05
870	860.0	0.05
871	2220.0	0.05
872	380.0	0.05
873	630.0	0.05
874	830.0	0.05
875	1160.0	0.05
876	620.0	0.05
877	3840.0	0.05
878	740.0	0.05
879	690.0	0.05
880	1000.0	0.05
881	540.0	0.05
882	490.0	0.05
883	560.0	0.05
884	710.0	0.05
885	620.0	0.05
886	980.0	0.05
887	480.0	0.05
888	1070.0	0.05
889	870.0	0.05
890	490.0	0.05
891	1310.0	0.05
892	750.0	0.05
893	620.0	0.05
894	1840.0	0.05
895	770.0	0.05
896	2000.0	0.05
897	370.0	0.05
898	1200.0	0.05
899	700.0	0.05
900	600.0	0.05
901	990.0	0.05
902	1090.0	0.05
903	1110.0	0.05
904	2160.0	0.05
905	460.0	0.05
906	770.0	0.05
907	1280.0	0.05
908	1460.0	0.05
909	780.0	0.05
910	300.0	0.05
911	580.0	0.05
912	850.0	0.05
913	450.0	0.05
914	610.0	0.05
915	760.0	0.05
916	1180.0	0.05
917	1040.0	0.05
918	1380.0	0.05
919	760.0	0.05
920	610.0	0.05
921	1190.0	0.05
922	810.0	0.05
923	2000.0	0.05
924	1130.0	0.05
925	750.0	0.05
926	510.0	0.05
927	940.0	0.05
928	1090.0	0.05
929	1040.0	0.05
930	750.0	0.05
931	810.0	0.05
932	410.0	0.05
933	860.0	0.05
934	840.0	0.05
935	2200.0	0.05
936	760.0	0.05
937	1990.0	0.05
938	1260.0	0.05
939	960.0	0.05
940	1760.0	0.05
